gene_id	status
LOC116619556	unmethylated
LOC116619554	unmethylated
LOC5514792	unmethylated
LOC5514838	unmethylated
LOC5514795	unmethylated
LOC5514839	unmethylated
LOC116613573	unmethylated
LOC116619530	unmethylated
LOC5514842	unmethylated
LOC5498703	unmethylated
LOC5514846	unmethylated
LOC5514847	unmethylated
LOC5514802	unmethylated
LOC5514804	unmethylated
LOC5514851	unmethylated
LOC5514853	unmethylated
LOC5514857	unmethylated
LOC5514859	unmethylated
LOC5514815	unmethylated
LOC5514860	unmethylated
LOC116619544	unmethylated
LOC116619525	unmethylated
LOC116619527	unmethylated
LOC5514862	unmethylated
LOC5514863	unmethylated
LOC5514819	unmethylated
LOC5514868	unmethylated
LOC5514820	unmethylated
LOC5514821	unmethylated
LOC5514870	unmethylated
LOC5514871	unmethylated
LOC116619534	unmethylated
LOC125561027	unmethylated
LOC5514875	unmethylated
LOC116615994	unmethylated
LOC116615993	unmethylated
LOC116616000	unmethylated
LOC116615991	unmethylated
